Component,Explained_Variance,Cumulative_Variance
258,0.0031527854430212434,97.00271186691974
259,0.0031323941491724085,97.0058442610689
260,0.0031276967919963714,97.00897195786091
261,0.0031217851319984753,97.0120937429929
262,0.003105014316068866,97.01519875730898
263,0.0030973673637116044,97.01829612467269
264,0.003094481485612241,97.02139060615829
265,0.003087555916583207,97.02447816207489
266,0.0030761351297747467,97.02755429720466
267,0.003067843169922807,97.03062214037458
268,0.0030586805764024967,97.03368082095099
269,0.003041530415771698,97.03672235136676
270,0.003027593285223386,97.03974994465197
271,0.0030238832044563175,97.04277382785644
272,0.0030053015676879116,97.04577912942412
273,0.002980679523899446,97.04875980894802
274,0.002965536089387135,97.05172534503741
275,0.0029593669483396695,97.05468471198574
276,0.002938931203802077,97.05762364318954
277,0.0029218808080887816,97.06054552399765
278,0.0029042500389135487,97.06344977403656
279,0.002900619238361725,97.06635039327493
280,0.0028791390944044046,97.06922953236933
281,0.0028757885094422924,97.07210532087876
282,0.002865985946743876,97.0749713068255
283,0.002845451283203328,97.07781675810871
284,0.0028299898008758446,97.0806467479096
285,0.002817758001408403,97.083464505911
286,0.0028097379499825597,97.08627424386098
287,0.002792052871250716,97.08906629673223
288,0.0027799980288309048,97.09184629476107
289,0.002763372695343822,97.09460966745641
290,0.002747902330589625,97.09735756978701
291,0.00273550311410868,97.1000930729011
292,0.0027288547872232603,97.10282192768832
293,0.002715973017206329,97.10553790070554
294,0.0027133719040234082,97.10825127260956
295,0.0026953418213081595,97.11094661443089
296,0.0026845147597083165,97.1136311291906
297,0.002682740479124436,97.11631386966971
298,0.0026626629579303757,97.11897653262764
299,0.0026559612538407038,97.12163249388148
300,0.002642160825736513,97.12427465470722
301,0.0026344043020878494,97.12690905900931
302,0.002627147407473669,97.12953620641679
303,0.002620184697250234,97.13215639111404
304,0.0026036250187047617,97.13476001613274
305,0.0025892231287866813,97.13734923926154
306,0.002586896845123956,97.13993613610667
307,0.002579683352392228,97.14251581945905
308,0.0025707937090981097,97.14508661316815
309,0.0025601098018918607,97.14764672297005
310,0.0025514238434488712,97.1501981468135
311,0.002536036887902264,97.1527341837014
312,0.002524340188623504,97.15525852389003
313,0.002520308310425592,97.15777883220045
314,0.002502612829359078,97.16028144502981
315,0.002495772841154348,97.16277721787095
316,0.0024867736978579176,97.16526399156882
317,0.0024774222919604024,97.16774141386078
318,0.002471486462350784,97.17021290032312
319,0.002466078444626164,97.17267897876776
320,0.0024614356467059684,97.17514041441446
321,0.002455359779096229,97.17759577419356
322,0.002450774279678055,97.18004654847324
323,0.002442371399474906,97.18248891987272
324,0.0024364685760820425,97.1849253884488
325,0.0024351572520616514,97.18736054570087
326,0.0024351505889153046,97.18979569628978
327,0.0024351501489442767,97.19223084643873
328,0.002435150148376413,97.1946659965871
329,0.0024351501483474264,97.19710114673545
330,0.002435150148347403,97.1995362968838
331,0.002435150148347325,97.20197144703215
332,0.00243515014834729,97.20440659718051
333,0.0024351501483472894,97.20684174732885
334,0.0024351501483472894,97.20927689747721
335,0.0024351501483472885,97.21171204762555
336,0.0024351501483472885,97.2141471977739
337,0.0024351501483472885,97.21658234792226
338,0.0024351501483472877,97.2190174980706
339,0.0024351501483472877,97.22145264821896
340,0.0024351501483472855,97.2238877983673
341,0.0024351501483472838,97.22632294851566
342,0.0024351501483472838,97.228758098664
343,0.0024351501483472838,97.23119324881236
344,0.0024351501483472838,97.2336283989607
345,0.002435150148347282,97.23606354910905
346,0.002435150148347282,97.2384986992574
347,0.0024351501483472816,97.24093384940575
348,0.0024351501483472816,97.24336899955411
349,0.0024351501483472816,97.24580414970245
350,0.00243515014834728,97.24823929985081
351,0.00243515014834728,97.25067444999915
352,0.00243515014834728,97.2531096001475
353,0.00243515014834728,97.25554475029585
354,0.00243515014834728,97.2579799004442
355,0.00243515014834728,97.26041505059256
356,0.00243515014834728,97.2628502007409
357,0.00243515014834728,97.26528535088926
358,0.00243515014834728,97.2677205010376
359,0.002435150133645099,97.27015565117125
360,0.0024351496343790534,97.27259080080563
361,0.002435145201481487,97.27502594600712
362,0.002435139219469243,97.27746108522659
363,0.002435124973809183,97.2798962102004
364,0.002435055663323394,97.28233126586372
365,0.002435016452992991,97.28476628231671
366,0.0024349379360588353,97.28720122025277
367,0.0024346602534626267,97.28963588050622
368,0.002434474056070677,97.2920703545623
369,0.002434367650358458,97.29450472221266
370,0.002433924050406064,97.29693864626306
371,0.0024326647430226098,97.29937131100608
372,0.0024322878901497096,97.30180359889624
373,0.0024315576967739545,97.30423515659301
374,0.0024309520963040313,97.30666610868931
375,0.002429622121906544,97.30909573081121
376,0.0024291553001259754,97.31152488611133
377,0.0024273912814960345,97.31395227739283
378,0.0024271359118451905,97.31637941330467
379,0.0024270487009504125,97.31880646200563
380,0.0024246799272290833,97.32123114193286
381,0.0024237512816649622,97.32365489321452
382,0.0024234571600036062,97.32607835037453
383,0.0024207693691874923,97.32849911974371
384,0.0024194317650619254,97.33091855150877
385,0.002418135932502295,97.33333668744127
386,0.002416512487653503,97.33575319992893
387,0.0024152053273118583,97.33816840525624
388,0.0024124066427121203,97.34058081189896
389,0.0024100432258730552,97.34299085512484
390,0.0024064677842795795,97.34539732290911
391,0.002405521927700181,97.3478028448368
392,0.0024032922240366465,97.35020613706085
393,0.0024005629751209343,97.35260670003598
394,0.0023991708891411426,97.35500587092511
395,0.002398203847304619,97.35740407477242
396,0.0023930241210872428,97.35979709889351
397,0.002387221430910308,97.36218432032442
398,0.002384178527675435,97.3645684988521
