pl_name,pl_rade,pl_eqt,habitability_score
TOI-2088 b,12.55405838,1001.0,0.0
TOI-2093 c,13.75341932,1726.0,0.0
TOI-2095 b,16.43236571,1596.0,0.0
TOI-2095 c,7.16,2155.0,0.0
TOI-2096 b,13.65253849,1292.0,0.0
TOI-2096 c,13.7646283,1539.0,0.0
TOI-2107 b,11.39953337,604.0,0.0
TOI-2109 b,3.82,1722.0,0.0
TOI-2120 b,4.94057819,1213.02,0.0
TOI-2128 b,3.2,1871.0,0.0
TOI-2134 b,15.55806521,1616.0,0.0
TOI-2134 c,4.26,1445.0,0.0
TOI-2136 b,12.97999965,1488.0,0.0
TOI-2141 b,12.80065596,944.2,0.0
TOI-2145 b,12.22899794,1264.0,0.0
TOI-2152 A b,13.7646283,1693.0,0.0
TOI-2154 b,14.67255574,1451.0,0.0
TOI-2158 b,10.5700688,1190.0,0.0
TOI-216.01,3.22,1102.0,0.0
TOI-216.02,15.9727975,1984.0,0.0
TOI-2169 A b,23.53885947,1498.0,0.0
TOI-2180 b,5.3,899.0,0.0
TOI-2184 b,11.02963701,1170.0,0.0
TOI-2193 A b,8.29464572,690.0,0.0
TOI-2194 b,12.80065596,1657.0,0.0
TOI-2196 b,13.08088048,1534.0,0.0
TOI-220 b,12.59889431,801.0,0.0
TOI-2202 b,11.32107051,750.0,0.0
TOI-2207 b,12.0,759.0,0.0
TOI-2211.01,5.14,582.0,0.0
TOI-2236 b,18.49481816,1646.0,0.0
TOI-2257 b,13.13692538,1633.0,0.0
TOI-2260 b,10.87271128,1178.0,0.0
TOI-2266 b,13.59649359,1544.0,0.0
TOI-2274 b,11.67975789,1445.0,0.0
TOI-2285 b,6.43,441.0,0.0
TOI-2295 b,15.27784069,1531.0,0.0
TOI-2322 b,14.28024141,1512.0,0.0
TOI-2322 c,12.31866979,1198.0,0.0
TOI-2328 b,12.27383387,1295.0,0.0
TOI-2337 b,14.4595851,1621.0,0.0
TOI-2338 b,7.9,563.0,0.0
TOI-2345 b,3.02,1441.0,0.0
TOI-2345 c,5.93,907.0,0.0
TOI-2346 b,6.18,650.0,0.0
TOI-2364 b,1.32,584.0,0.0
GJ 806 b,1.77,944.2,0.0
TOI-237 b,13.04725353,1458.0,0.0
Gliese 12 b,2.526,944.2,0.0
HD 101581 b,3.49,752.0,0.0
TOI-2379 b,12.28504285,605.1,0.0
TOI-238 b,13.57407563,1570.0,0.0
TOI-2382 b,13.30506009,1074.0,0.0
TOI-2384 b,16.11851425,1669.0,0.0
TOI-2406 b,13.67495645,725.0,0.0
TOI-2407 b,2.64,922.0,0.0
TOI-2411 b,5.09,635.0,0.0
TOI-2416 b,10.68215861,1642.0,0.0
TOI-2420 b,1.28,1862.0,0.0
TOI-2421 b,3.29,633.0,0.0
TOI-2427 b,16.81347105,944.2,0.0
TOI-244 b,15.10970598,944.2,0.0
TOI-2443 b,16.69017226,944.2,0.0
TOI-2445 b,11.2089807,904.0,0.0
TOI-2447 b,2.52,435.0,0.0
TOI-2449 b,13.26022417,1395.0,0.0
TOI-2458 b,14.01122587,427.0,0.0
TOI-2459 b,14.60530185,1639.0,0.0
TOI-2485 b,11.09689089,944.2,0.0
TOI-2497 b,12.17,705.0,0.0
TOI-2498 b,11.85910158,944.2,0.0
TOI-251 b,10.53644186,944.2,0.0
HD 101581 c,2.6,944.2,0.0
HD 108236 b,3.41,880.0,0.0
TOI-2525 c,11.67975789,1677.0,0.0
TOI-2529 b,3.2,944.2,0.0
TOI-2537 b,8.18255591,944.2,0.0
TOI-2545 b,10.9175472,1468.0,0.0
TOI-2567 b,15.22179579,2255.0,0.0
TOI-257 b,12.44196858,1472.0,0.0
TOI-2570 b,14.35870428,1673.0,0.0
TOI-2580 b,2.85372018,1198.94,0.0
TOI-2583 A b,11.09691,1370.0,0.0
TOI-2587 A b,8.7,694.0,0.0
TOI-2589 b,12.87,894.0,0.0
TOI-260 b,12.34108775,919.0,0.0
TOI-261.01,8.54124329,717.6,0.0
TOI-262 b,1.166,1617.0,0.0
TOI-2641 b,6.25,1040.0,0.0
TOI-2669 b,10.76062147,1056.0,0.0
TOI-269 b,3.48935569,550.0,0.0
TOI-270 b,6.6,1180.0,0.0
TOI-270 c,11.98240037,976.0,0.0
TOI-270 d,1.54,1009.0,0.0
TOI-2714 b,11.88151954,906.0,0.0
TOI-2719 b,13.34989601,1585.0,0.0
TOI-2768 b,11.54525012,687.0,0.0
TOI-277 b,11.6,737.0,0.0
TOI-2796 b,10.72699453,1286.0,0.0
TOI-2803 A b,9.86,783.0,0.0
TOI-2818 b,12.778238,1772.0,0.0
TOI-283 b,11.60129502,1244.0,0.0
TOI-2842 b,11.9,675.0,0.0
TOI-286 b,9.30345398,565.0,0.0
TOI-286 c,9.86390302,1043.0,0.0
TOI-2876 b,13.09208946,1648.0,0.0
TOI-2886 b,5.82,867.0,0.0
TOI-2969 b,16.6117094,1350.0,0.0
TOI-2977 b,15.07607904,1566.0,0.0
TOI-2981 b,10.60369574,689.0,0.0
TOI-2986 b,12.41955062,1195.0,0.0
TOI-2989 b,14.70618268,1488.0,0.0
TOI-2992 b,10.3,947.0,0.0
TOI-3023 b,3.52,1242.0,0.0
TOI-3071 b,2.018,999.0,0.0
TOI-3082 b,11.30986153,441.0,0.0
TOI-3135 b,9.75,528.0,0.0
TOI-3160 A b,12.17295304,1061.0,0.0
TOI-3235 b,12.22899794,1180.0,0.0
TOI-3261 b,17.14974047,1789.0,0.0
TOI-329 b,1.397,2319.0,0.0
TOI-332 b,2.865,802.0,0.0
TOI-3321 b,2.615,600.0,0.0
HD 108236 c,3.195,600.0,0.0
HD 108236 d,2.995,540.0,0.0
TOI-3353.01,10.42,837.0,0.0
TOI-3362 b,11.43318,1714.0,0.0
TOI-3364 b,4.91,513.0,0.0
TOI-3464 b,10.3,742.0,0.0
HD 108236 e,17.317905,2132.0,0.0
TOI-3486 b,8.54,1040.0,0.0
TOI-3493 b,5.62,1136.78,0.0
TOI-3523 A b,2.46,1108.0,0.0
TOI-3540 A b,3.08,950.0,0.0
TOI-3568 b,11.46678726,1515.0,0.0
HD 109833 b,1.72,2141.0,0.0
TOI-3629 b,13.67495645,1890.0,0.0
TOI-3682 b,14.39233122,944.2,0.0
TOI-3688 A b,11.92,714.0,0.0
TOI-3693 b,6.41,1439.0,0.0
TOI-3714 b,2.64,1360.0,0.0
TOI-3757 b,2.82,1143.0,0.0
TOI-3785 b,14.3474953,1750.0,0.0
TOI-3807 b,18.97680433,1666.0,0.0
TOI-3819 b,9.2362001,1388.0,0.0
TOI-3837 b,1.079,944.2,0.0
TOI-3856 b,11.88154,1586.0,0.0
TOI-3877 b,11.59,541.0,0.0
TOI-3884 b,1.059,1216.0,0.0
TOI-3894 b,10.89,495.0,0.0
TOI-3912 b,11.29,745.0,0.0
TOI-3919 b,19.2794468,1816.0,0.0
TOI-3976 A b,11.93756445,1213.0,0.0
HD 109833 c,2.25,743.0,0.0
TOI-3984 A b,10.98480109,833.0,0.0
TOI-4010 b,2.27,674.0,0.0
TOI-4010 c,2.26,553.0,0.0
TOI-4010 d,1.92,482.0,0.0
TOI-406 c,5.09,1493.0,0.0
TOI-406.01,2.58606487,1124.85,0.0
TOI-4087 b,9.52763359,599.0,0.0
TOI-411 b,5.25,635.0,0.0
TOI-411 c,13.11450742,944.2,0.0
TOI-4127 b,9.5836785,417.9,0.0
TOI-4137 b,11.43316031,944.2,0.0
TOI-4145 A b,13.2,593.0,0.0
