P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY,Predicted_Class,Habitability_Score,Confidence_Conservative,Confidence_Optimistic
K2-239 b,1.3612778,1.09858,5.24,0.0441,430.70026,3420.0,0.015885397,0.36,0.4,-0.1,0,0.0018962178,0.001826613,6.9604874e-05
GJ 1132 b,1.6590622,1.1609198,1.628931,0.01567026,532.3506,3270.0,0.0045177089,0.21,0.18,,0,0.0018229242,0.0017574818,6.5442444e-05
K2-72 c,1.6270695,1.15463,15.189034,0.0784719,304.43688,3360.47,0.012442757,0.33,0.27,,0,0.0017902579,0.0017224716,6.778636e-05
TRAPPIST-1 c,1.3793735,1.05374,2.4218233,0.015262391,316.68392,2559.0,0.00055326383,0.12,0.08,0.04,0,0.0017596309,0.0016941843,6.544659e-05
TRAPPIST-1 b,0.84860077,1.08737,1.5108708,0.011146446,370.54636,2559.0,0.00055326383,0.12,0.08,0.04,0,0.0017596309,0.0016941843,6.544659e-05
HD 133131 A b,451.31576,13.555855,649.0,1.518408,214.54773,5799.0,1.0725671,,0.95,-0.306,0,0.0017097306,0.00011654277,0.0015931878
K2-239 d,1.3612778,1.09858,10.115,0.0685,345.58043,3420.0,0.015885397,0.36,0.4,-0.1,0,0.0016990622,0.0016294436,6.9618625e-05
K2-239 c,0.96382171,0.99769,7.775,0.0576,376.86273,3420.0,0.015885397,0.36,0.4,-0.1,0,0.0016990622,0.0016294436,6.9618625e-05
HIP 109384 b,495.81168,13.499887,499.48,1.3048944,198.18524,5180.0,0.51133096,,0.78,-0.26,0,0.0016904217,0.00012418228,0.0015662394
Kepler-1049 b,0.81736451,0.95285,3.2734607,0.034464424,642.1947,3864.0,0.04795449,0.49,0.51,-0.33,0,0.0016857103,0.0015893359,9.637442e-05
Kepler-445 d,2.0491991,1.2331,8.15275,0.04475104,301.4392,3157.0,0.0039248726,0.21,0.18,0.27,0,0.0016693015,0.001603849,6.5452514e-05
Kepler-1646 b,2.0491991,1.2331,4.4855838,0.03307191,407.71475,3299.0,0.0071740534,0.26,0.24,0.04,0,0.0016693015,0.001603849,6.5452514e-05
LHS 3844 b,2.2425611,1.30036,0.46292913,0.00622,739.60604,3036.0,0.0027479126,0.19,0.15,,0,0.0016553744,0.001589921,6.545343e-05
Kepler-779 b,0.71859407,0.91922,7.0971422,0.05578077,470.91407,3804.0,0.036320852,0.44,0.46,-0.43,0,0.0016367823,0.0015404031,9.6379146e-05
Kepler-1582 b,2.8286707,1.49093,4.8381771,0.036617054,404.73462,3208.0,0.0085402109,0.3,0.28,0.48,0,0.0015753096,0.001508157,6.715249e-05
tau Cet g,1.7512323,1.1785648,20.0,0.1332394,575.03789,5344.0,0.45951617,0.79299998,0.78,-0.55000001,0,0.0015412259,0.0011408216,0.00040040436
GJ 1132 c,2.6411507,1.4318957,8.929,0.04933502,301.33711,3270.0,0.0045177089,0.21,0.18,,0,0.0015019263,0.0014347689,6.715743e-05
Kepler-138 b,0.066743881,0.52687,10.3126,0.074545733,411.31668,3841.0,0.037754718,0.44,0.52,-0.28,0,0.0014781753,0.0013817808,9.639446e-05
Kepler-138 c,1.9705336,1.19947,13.7813,0.090442133,373.42408,3841.0,0.037754718,0.44,0.52,-0.28,0,0.0014781753,0.0013817808,9.639446e-05
HIP 12961 b,114.41808,13.180399,57.435,0.2536125,276.75095,3901.0,0.087663572,0.65,0.69,-0.14,0,0.0014771597,0.00035809012,0.0011190695
Kepler-186 c,2.1128564,1.25552,7.267302,0.0451,562.0053,3755.0,0.048165392,0.52,0.54,-0.26,0,0.001465228,0.0013704657,9.476232e-05
HD 22781 b,4338.3522,12.271051,528.07,1.5584846,164.78175,5027.0,0.29483922,,0.75,-0.37,0,0.0014592503,0.00011969262,0.0013395577
GJ 3138 b,1.7798368,1.1839043,1.22003,0.020055585,823.51608,3717.0,0.04275618,0.5,0.68,-0.3,0,0.0014290732,0.001332674,9.63992e-05
Kepler-896 b,6.9584217,2.53346,144.5474,0.50848271,292.73343,5262.0,0.45067354,0.81,0.84,-0.1,0,0.0013661659,0.00078368076,0.0005824851
Kepler-186 e,2.1449845,1.26673,22.407704,0.11,359.85898,3755.0,0.048165392,0.52,0.54,-0.26,0,0.0013484901,0.001067714,0.00028077618
Kepler-1124 b,2.1773119,1.27794,2.852349,0.027733243,564.54673,3658.0,0.018544763,0.34,0.35,-0.59,0,0.0013409139,0.0012445062,9.6407704e-05
Kepler-186 d,2.5458987,1.40125,13.342996,0.0781,427.07403,3755.0,0.048165392,0.52,0.54,-0.26,0,0.0013103071,0.0012130776,9.722948e-05
Kepler-138 d,0.63883429,1.21068,23.0881,0.12757614,314.4148,3841.0,0.037754718,0.44,0.52,-0.28,0,0.0013014972,0.0009635747,0.0003379225
K2-3 c,4.0789714,1.84965,24.64354,0.1399,343.5747,3896.0,0.0647352,0.56,0.6,-0.32,0,0.0012721876,5.3366406e-05,0.0012188212
GJ 832 b,216.12304,14.00223,3657.0,3.571392,57.075646,3472.0,0.031975683,,0.45,-0.3,0,0.001268113,0.00019148923,0.0010766238
Kepler-844 b,3.4695604,1.6815,2.6130209,0.031133083,778.54393,4128.0,0.084527322,0.57,0.59,-0.24,0,0.0012641363,0.0011258001,0.0001383362
K2-155 b,3.9125102,1.80481,6.342,0.0562,602.93232,4258.0,0.099075726,0.58,0.65,-0.3,0,0.0012621981,0.001043332,0.000218866
K2-148 c,3.6281006,1.72634,6.9226,0.0616,574.97729,4079.0,0.098442938,0.63,0.65,-0.11,0,0.0012547355,0.0011949841,5.9751423e-05
GJ 3998 b,2.4695236,1.3763357,2.64977,0.029,674.36105,3722.0,0.041284429,0.49,0.5,-0.16,0,0.0012161437,0.0011494834,6.66603e-05
K2-155 d,4.2910395,1.9057,40.718,0.1937,324.76702,4258.0,0.099075726,0.58,0.65,-0.3,0,0.0011995442,7.4680094e-05,0.0011248641
Kepler-674 b,3.5089223,1.69271,2.2433819,0.028281043,829.52229,4192.0,0.089892499,0.57,0.6,-0.27,0,0.0011974904,0.0009973828,0.0002001076
Kepler-1152 b,0.60067123,0.87438,1.6468019,0.022355858,850.73241,3964.0,0.062140532,0.53,0.55,-0.25,0,0.0011949366,0.0005548294,0.00064010714
HD 20794 c,2.4154928,1.3585186,40.114,0.2036,546.79788,5401.0,0.87959589,,0.7,-0.4,0,0.0011657742,0.0010107666,0.00015500755
