name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
Kepler-155 b,Confirmed,0.37,0.186,5.931194,0.056,0.062,Primary Transit,Kepler-155,0.58,0.62,4508.0,-0.363,295.99,M0 V,2014,2021-02-05,Announced on a website
Kepler-155 c,Confirmed,0.37,0.2,52.661793,0.242,0.062,Primary Transit,Kepler-155,0.58,0.62,4508.0,-0.363,295.99,M0 V,2014,2021-02-05,Announced on a website
Kepler-1560 b,Confirmed,0.37,0.079,3.03195744,0.102,0.062,Primary Transit,Kepler-1560,1.02,1.02,5815.0,0.04,529.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1561 b,Confirmed,0.37,0.097,1.00520701,0.102,0.062,Primary Transit,Kepler-1561,1.07,1.11,5957.0,0.04,993.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1562 b,Confirmed,0.37,0.317,64.2737752,0.102,0.062,Primary Transit,Kepler-1562,1.02,1.05,5760.0,0.11,1315.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1563 b,Confirmed,0.37,0.067,3.43276598,0.102,0.062,Primary Transit,Kepler-1563,1.0,0.99,5765.0,0.02,547.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1564 b,Confirmed,0.37,0.131,18.0540381,0.102,0.062,Primary Transit,Kepler-1564,0.93,0.9,5528.0,0.03,872.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1565 b,Confirmed,0.37,0.106,1.53818844,0.102,0.062,Primary Transit,Kepler-1565,0.76,0.73,4940.0,-0.16,657.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1566 b,Confirmed,0.37,0.07,0.5700292145,0.102,0.062,Primary Transit,Kepler-1566,0.84,0.81,5254.0,-0.07,511.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1567 b,Confirmed,0.37,0.244,153.979578,0.102,0.062,Primary Transit,Kepler-1567,0.95,0.93,5655.0,-0.03,1226.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1568 b,Confirmed,0.37,0.116,20.925392,0.102,0.062,Primary Transit,Kepler-1568,1.09,1.19,5956.0,0.09,883.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1569 b,Confirmed,0.37,0.15,5.79180156,0.102,0.062,Primary Transit,Kepler-1569,1.25,1.4,6319.0,0.06,1050.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-156 b,Confirmed,0.37,0.205,4.973456,0.054,0.062,Primary Transit,Kepler-156,0.95,0.81,5094.0,-0.014,449.22,Unknown,2014,2021-02-05,Announced on a website
Kepler-156 c,Confirmed,0.37,0.227,15.906801,0.117,0.062,Primary Transit,Kepler-156,0.95,0.81,5094.0,-0.014,449.22,Unknown,2014,2021-02-05,Announced on a website
Kepler-1570 b,Confirmed,0.37,0.095,26.548955,0.102,0.062,Primary Transit,Kepler-1570,0.92,0.89,5550.0,-0.04,463.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1571 b,Confirmed,0.37,0.136,3.38555488,0.102,0.062,Primary Transit,Kepler-1571,1.23,1.39,6297.0,0.04,802.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1572 b,Confirmed,0.37,0.084,5.49548621,0.102,0.062,Primary Transit,Kepler-1572,0.97,0.95,5618.0,0.08,600.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1573 b,Confirmed,0.37,0.107,2.6157554,0.102,0.062,Primary Transit,Kepler-1573,1.01,1.0,5808.0,0.02,1180.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1574 b,Confirmed,0.37,0.115,6.9424334,0.102,0.062,Primary Transit,Kepler-1574,1.06,1.08,5892.0,0.08,1275.0,Unknown,2016,2021-02-05,Announced on a website
